from,to,routes
6721,1056,112
6721,1573,111
6722,9252,117
6739,6161,119
6752,6853,113
6775,2839,115
6778,7244,131
6788,2366,132
6805,1825,111
6825,2868,117
6850,6895,112
6853,4841,113
6863,7641,112
6874,8120,119|118
6875,8220,129
6891,6155,132
6895,2029,112
6905,9580,132
6908,7826,132
6911,7796,115
6919,10045,120
6934,5562,112
6935,10072,129
6943,9683,122
6945,9059,120
6947,8206,116
6959,1161,132
6988,7081,116
6997,9602,116
6998,10010,115|122
7008,9892,112|123|111
7010,9800,122
7011,1699,126
7015,1224,127
7018,7469,120
7025,1842,125
7043,4305,123
7063,9480,113
7067,1701,116
7068,5534,111
7079,2386,122
7080,14362,117
7081,6359,116
7090,8333,123
7093,542,123
7115,9857,129
7130,14361,117
7136,5423,112
7155,8262,116
7164,7627,113
7177,4726,123
7193,15338,121
7214,3045,132
7233,6563,130
7237,4190,112
7239,14278,131
7239,14279,132
7239,14281,129
7239,14739,130
7242,1357,113
7244,9609,131
7247,2998,120
7253,1000,112
7259,7080,117
7266,4067,113
7282,2362,129
7294,9391,131|129|130
7300,6295,120
7307,2443,115
7339,10038,130
7340,1571,129
7341,7348,129
7344,5040,131
7348,7115,129
7358,9258,117
7361,8754,113
7366,5473,129
7371,9092,129
7391,4680,124
7394,3413,123
7398,7067,116
7400,9117,123
7410,8590,125
7414,8525,130
7418,4937,122
7421,9288,127
7423,9569,122
7424,3490,116
7428,7780,119
7435,7836,123
7436,6805,111
7448,6551,111
7461,7698,121
7469,4945,120
7487,6586,131
7488,4115,115|122
7491,3960,113
7495,9368,132
7510,7247,120
7523,3417,129
7532,7242,113
7545,7307,115
7548,2323,131
7554,1582,127
7563,4871,119|118
7569,10410,118
7581,8916,116
7585,9675,116
7596,3612,113
7617,5623,120|119|118
7619,15010,129
7625,8115,111
7627,14257,113
7632,3036,111
7637,4512,112
7641,266,112
7656,1421,122
7676,2453,125
7680,5799,120
7684,15106,116
7696,10100,123
7698,358,121
7706,6825,117
7719,858,117
7739,1763,116
7739,7969,131
7756,7366,129
7773,1037,112
7780,4659,119
7790,10291,124
7796,4238,115
7826,6891,132
7836,4588,123
7844,2466,129
7846,7214,132
7854,4123,123
7859,2003,130
7877,8225,127
7888,3570,132
7889,3837,118
7923,8039,130
7930,3865,129
7941,3042,116
7954,4554,123
7969,4712,131
7969,9943,131
7970,5082,116
7972,2201,112
7997,2669,111
8000,348,116
8004,3373,120|119|118
8011,1982,131
8017,4320,127
8026,289,125
8029,4613,113
8033,2777,120
8036,2309,116
8036,4460,116
8039,3857,130
8046,9147,132
8058,6947,116
8075,2418,122
8076,6249,125
8092,7090,123
8114,10316,125
8115,1812,111
8120,8971,119|118
8120,14081,119
8130,15468,121
8133,3821,131
8136,2463,116
8138,1996,124
8139,2313,118
8168,6602,129
8169,9395,117
8170,14360,117
8204,1238,129|130
8206,2593,116
8218,1041,118
8220,4986,129
8225,5487,127
8243,322,116
8259,8058,116
8262,2254,116
8262,8000,116
8268,1032,127
8271,2644,112
8291,7155,116
8297,15478,129
8302,9326,116
8318,6874,119|118
8322,8114,125
8328,2047,124
8333,7954,123
8384,4108,120
8391,1963,129
8393,6504,122
8404,14227,131
8405,8033,120
8411,3393,119|118
8428,9228,121
8432,9692,119
8437,1051,131
8454,2706,111
8472,1748,120
8474,4406,132
8492,8622,129
8496,5027,112
8498,1264,112
8509,1475,116
8515,8076,125
8525,2218,130
8536,7997,111
8540,5675,126
8550,15211,116
8555,7706,117
8556,6296,129
8585,1340,111
8589,9058,113
8590,8026,125
8596,715,116
8603,5008,120
8604,6635,129
8605,6935,129
8616,1607,116
8622,6558,129
8636,9235,111
8645,370,118
8650,8472,120
8661,2697,120
8667,2807,117
8674,6632,124
8688,9437,116
8691,1577,127
8692,2165,124
8703,8817,111
8705,14679,113
8737,3583,120
8737,10047,119|118
8754,5341,113
8762,433,113
8790,766,123
8793,8302,116
8812,9333,126
8815,6389,115|122
8817,5458,111
8834,993,112
8856,9681,113
8862,792,116
8868,8869,126
8869,14300,126
8870,10453,126
8880,1936,118
8885,5289,112
8890,2447,116
8916,2034,116
8922,1452,112
8925,10257,112
8935,8555,117
8971,1930,118
8971,2907,119
8981,5845,124
8986,6997,116
8994,10201,123
9000,5358,130
9010,2882,122
9020,4336,131
9028,5641,132
9031,5714,117
9058,6150,113
9059,3907,120
9074,568,129
9079,7259,117
9092,6450,129
9097,6850,112
9099,5165,117
9114,5781,126
9117,477,123
9124,5726,117
9141,3643,120
9145,7739,116|131
9147,2367,132
9153,6298,121
9173,1309,120
9187,6340,123
9206,6775,115
9228,1210,121
9235,6433,111
9237,8556,129
9238,7063,113
9239,1064,116
9252,5018,117
9257,8885,112
9258,2835,117
9268,6011,130
9276,2541,129|132|131
9288,601,127
9308,4377,113
9314,4040,112
9316,7410,125
9326,7684,116
9333,9114,126
9336,7068,111
9344,602,127
9357,957,118
9368,3947,132
9369,9515,119|118
9372,8391,129
9374,9893,115|122
9391,3476,129|130
9391,14809,131
9395,5287,117
9397,7177,123
9401,2507,115
9405,2118,130
9413,7294,131|129|130
9421,7846,132
9425,4269,119
9426,14364,117
9437,6582,116
9455,5589,131
9468,2408,127
9480,8029,113
9487,14693,130
9496,5728,116
9514,4647,119|118
9515,2771,119|118
9516,3709,112
9553,4960,116
9558,6605,112
9567,529,131
9567,9846,132
9569,1708,122
9572,6062,115|122
9580,3944,132
9583,14971,116
9584,6364,112
9588,1896,118
9589,7043,123
9596,2504,122
9602,3083,116
9609,4240,131
9651,1688,111
9654,7018,120
9675,4702,116
9681,7361,113
9683,6235,122
9692,7563,119|118
9707,1044,123
9726,7239,132
9728,2327,112
9748,931,121
9766,7414,130
9776,7696,123
9791,359,123
9800,9974,122
9846,1814,132
9857,744,129
9862,9421,132
9885,4573,131
9892,3854,112|123|111
9893,4244,115|122
9901,7010,122
9910,5041,119|118
9925,7545,115
9931,3824,130
9943,2147,131
9949,8469,116
9949,14231,116
9955,9173,120
9959,6998,115|122
9960,3791,122
9974,944,122
9995,2626,127
10010,1356,115|122
10018,3629,120
10038,7923,130
10045,1608,120
10047,4926,119|118
10050,8474,132
10072,15664,129
10094,5403,132
10097,7239,130|129|131
10100,7400,123
10109,2458,120|119|118
10127,4249,115
10127,6591,122
10129,2965,112|123|111
10142,7424,116
10161,791,116
10176,2440,116
10180,2363,132
10196,7510,120
10201,6264,123
10201,10303,123
10246,3645,111
10252,1872,112
10255,8691,127
10257,5627,112
10265,3096,127
10291,8138,124
10303,2634,123
10306,5949,123
10306,9187,123
10316,4860,125
10333,7581,116
10368,8604,129
10385,6721,112|111
10409,2149,112
10410,4277,118
10415,15328,121
10453,3247,126
12876,4952,116
12890,394,124
13982,14082,119
14074,14075,119
14075,14076,119
14076,14692,119
14077,14078,119
14078,14079,119
14079,14080,119
14080,14980,119
14081,13982,119
14082,14083,119
14083,14108,119
14086,14087,116
14087,12876,116
14088,14695,116
14090,6149,116
14108,6739,119
14182,8170,117
14212,1805,125
14227,5904,131
14228,1187,113
14231,311,116
14235,3686,111
14236,3686,112
14237,3686,123
14245,7790,124
14257,9308,113
14278,8404,131
