tag,title,lat,lon
1842,Antibes Dr (South) At Torresdale Ave East Side,43.7793799,-79.45176
1844,Eringate Dr At Wellesworth Dr,43.66097,-79.5806099
1851,Spadina Rd At Lowther Ave,43.6690799,-79.4049299
1852,York Mills Rd At Old Yonge St,43.74492,-79.3991999
1855,McCowan Rd At Walkway To Alanbull Sq,43.8199899,-79.2729499
1860,339 The West Mall,43.6379299,-79.56407
1872,Wellesworth Dr At Torrington Dr North Side,43.6553699,-79.5765999
1876,Kennedy Rd At St Clair Ave East North Side,43.7168499,-79.26127
1892,McCowan Rd At Heritage Rd,43.87006,-79.2854
1896,Thistledown Blvd At Thistledown Blvd North Side,43.7382699,-79.5562199
1930,Wilson Ave At Clayson Rd West Side,43.71771,-79.5234699
1933,Eglinton Ave East At Beachell St,43.7426299,-79.22189
1936,Albion Rd At Calstock Dr,43.7340399,-79.55798
1955,The Esplanade At George St South,43.6485999,-79.3695
1963,McCowan Rd At Opposite Milliken Wells Plaza,43.8250099,-79.2749999
1971,Danforth Ave At Leyton Ave West Side,43.6935199,-79.27836
1982,Opposite 120 McLevin Ave,43.8015899,-79.2353
1993,Castlemore Ave At The Bridle Walk,43.8961699,-79.30806
1996,Lawrence Ave East At Mt Pleasant Rd,43.7260399,-79.39744
1999,Calvington Dr At Lexfield Ave,43.73017,-79.4989099
2003,Middlefield Rd At McNicoll Ave,43.8199499,-79.2619199
2008,Morningside Ave At Military Trail,43.78956,-79.1946
2012,Guildwood Pkwy At Prince Phillip Blvd East Side,43.7461499,-79.20265
2014,Dundas St West At Paulart Dr East Side,43.63109,-79.5464899
2023,Breckon Gate At Sheppard Ave East,43.80027,-79.20676
2025,York Mills Rd At Old York Mills Rd,43.7442,-79.40445
2028,Davenport Rd At Christie St,43.67548,-79.4232099
2029,Renforth Dr At Convair Dr,43.6723699,-79.59362
2034,Kingston Rd At Scarborough Golf Club Rd,43.7464,-79.2091199
2038,Thistle Down Blvd At Albion Rd,43.7360599,-79.56072
2047,Lawrence Ave East At Mildenhall Rd,43.7285099,-79.38636
2079,43 Drewry Ave,43.78661,-79.4194899
2100,Morningside Ave At Walkway To McKnight Dr,43.8105799,-79.2036499
2118,Middlefield Rd At Steeles Ave East,43.83249,-79.26765
2131,Morningside Ave At McLevin Ave,43.8090799,-79.20295
2137,Antibes Dr (North) At Plum Treeway (South) North Side,43.7818499,-79.44654
2138,Morningside Ave At Sewells Rd,43.81645,-79.21152
2147,Littles Rd At Birrell Ave,43.8172299,-79.20433
2149,Renforth Dr At Eglinton Ave West South Side,43.6658299,-79.58699
2163,McLevin Ave At Empringham Dr East Side,43.8097199,-79.2106699
2165,Lawrence Ave East At Wanless Cres (West),43.7273599,-79.39189
2196,Wellesworth Dr At Dixfield Dr (North),43.65689,-79.57728
2199,Opposite 840 Tandridge Cres,43.7292599,-79.54847
2201,Gentian Dr At Renforth Dr,43.66497,-79.5854099
2218,Middlefield Rd At Select Ave,43.8291299,-79.2661399
2245,Danforth Ave At Pharmacy Ave,43.6924399,-79.2832
2254,Morningside Ave At Military Trail,43.7888399,-79.19399
2255,York Mills Rd At Cedarwood Ave West Side,43.7459299,-79.39451
2272,300 Danforth Rd,43.70178,-79.2716899
2286,McCowan Rd At Highway 401,43.78257,-79.25523
2289,McCowan Rd At Nugget Ave,43.79225,-79.26005
2305,Albion Rd At Bankfield Dr South Side,43.73071,-79.55446
2309,Kingston Rd At Scarborough Golf Club Rd,43.7455,-79.2095999
2313,Thistle Down Blvd At Kenhill Dr,43.74129,-79.5537999
2318,Middlefield Rd At Richmond Park Blvd,43.8141699,-79.2594499
2323,Tapscott Rd At Washburn Way,43.8044399,-79.22446
2327,546 The West Mall,43.6516599,-79.5698699
2330,Roywood Dr At Fortrose Cres (East),43.7659399,-79.32602
2354,Milner Ave At Executive Crt,43.7864999,-79.24248
2358,The East Mall At Keane Ave North Side,43.6491899,-79.56031
2362,McCowan Rd At Finch Ave East,43.80823,-79.26671
2363,Milner Ave At Novopharm Crt,43.79084,-79.2308799
2366,115 Milner Ave,43.7847,-79.2483899
2367,Murison Blvd At Breckon Gate,43.7997699,-79.2062299
2369,The Esplanade At Lower Sherbourne St,43.64912,-79.3671499
2386,Graydon Hall Dr At Don Mills Rd,43.7619199,-79.34679
2393,715 Milner Ave (Honda Plant-East Entrance),43.79678,-79.2067199
2408,Davenport Rd At Lightbourn Ave,43.6724799,-79.44357
2416,Danforth Ave At August Ave,43.6929099,-79.28109
2418,101 Duncan Mill Rd,43.76166,-79.3555899
2422,Calvington Dr At Lexfield Ave,43.73005,-79.4991199
2428,Maybrook Dr At Passmore Ave,43.8278399,-79.26171
2440,Eglinton Ave East At Bellamy Rd North,43.7404199,-79.23187
2442,2050 McCowan Rd,43.7950999,-79.26114
2443,241 Woodsworth Rd,43.76497,-79.36803
2447,Eglinton Ave East At Huntington Ave,43.73489,-79.2558799
2453,30 Drewry Ave,43.7866799,-79.41949
2458,949 Wilson Ave,43.7287899,-79.47446
2463,Eglinton Ave East At Brimley Rd,43.73685,-79.2478499
2466,McCowan Rd At McNicoll Ave,43.8178199,-79.2717999
2474,Wilson Ave At Lexfield Ave West Side,43.7234,-79.4969899
2475,Clayson Rd At Bartor Rd,43.72067,-79.52423
2476,87 Skyway Ave,43.68538,-79.58405
2503,Opposite 715 Milner Ave (Honda Plant-West Entrance),43.7961099,-79.21046
2504,Duncan Mill Rd At Don Mills Rd,43.76161,-79.3476799
2507,Davean Dr At Dunlace Dr,43.7613999,-79.36833
2527,Browns Line At Lake Shore Blvd West North Side,43.5933499,-79.53933
2540,Davenport Rd At Osler St,43.6704599,-79.4600299
2541,McCowan Rd At Progress Ave North Side,43.7766499,-79.2528899
2552,Morningside Ave At Guildwood Pkwy,43.7533299,-79.1799299
2561,Banatyne Dr At Beaverhall Dr,43.7591999,-79.36609
2564,Hupfield Trail At Lady Bower Cres (South) North Side,43.81496,-79.2187999
2590,McNicoll Ave At Tiffield Rd East Side,43.8208699,-79.25995
2593,Morningside Ave At Tefft Rd,43.77237,-79.18753
2598,Lawrence Ave East At Ronan Ave,43.72676,-79.3940099
2626,Davenport Rd At Laughton Ave,43.67038,-79.4556699
2634,North Queen St At Eastside Dr,43.61994,-79.5520299
2637,McCowan Rd At Trail Ridge Lane,43.8872599,-79.28926
2639,McCowan Rd At Huntingwood Dr,43.79885,-79.26274
2643,The East Mall At The Queensway,43.6167399,-79.5465399
2644,The West Mall At Holiday Dr,43.6491999,-79.5684899
2664,Hupfield Trail At Horseshoe Cres (North),43.8124599,-79.22057
2665,Hupfield Trail At Overlord Cres (East) East Side,43.8161199,-79.21685
2669,Opposite 340 The East Mall,43.63928,-79.55682
2684,Danforth Ave At Leyton Ave,43.6934199,-79.27806
2697,Northover St At Slater Crt,43.74012,-79.50094
