tag,title,lat,lon,merged
11187,Washington St @ School St,42.31459495,-71.09947995,11187|35236
1119,Magazine St @ Erie St,42.36098,-71.1089099,1119
1120,Magazine St @ McTernan St,42.361605,-71.1083399,1762|1120
1121,Magazine St @ Perry St,42.36234,-71.1074399,1121
11218,Congress St @ A St,42.35037495,-71.04849995000001,30239|11218
11219,A St @ Necco St,42.34806,-71.0503399,11219
1122,Magazine St @ Auburn St,42.36387,-71.10573,1122
11228,Tremont St @ Lenox St,42.337799950000004,-71.08310990000001,1253|11228
11241,South Bay Mall @ Target,42.3299407,-71.06175594999999,29052|11241
11242,South Bay Mall @ Office Max,42.3274549,-71.06169995,29051|11242
11243,South Bay Mall @ Stop and Shop,42.32638495,-71.0645999,11243|29050
11245,Tremont St @ Berkeley St,42.345307425,-71.0697,1237|11245|36539
1125,Magazine St @ William St,42.3634899,-71.1063399,1125
11257,Malcolm X Blvd @ King St,42.3311999,-71.09269,11257
11259,Malcolm X Blvd @ Shawmut Ave,42.329584999999994,-71.08616495,11259|1148
1128,South St @ Sedgwick St,42.308484899999996,-71.115555,1128|99991
1129,Centre St @ Seaverns Ave,42.3121999,-71.11414,1129
113,Portland St @ Causeway St,42.3655799,-71.06129,113|113_ar|114_ar|114
1130,Centre St @ Saint John St,42.3141999,-71.11404,1130
11302,Harvard St @ Verndale St,42.34847995,-71.12949495000001,11302|1376
11319,W Second St opp W Third St,42.3430499,-71.0550399,11319
1132,Centre St @ Robinwood Ave,42.317159950000004,-71.11329995,1161|1132
11323,Malcolm X Blvd opp O'Bryant HS,42.3307999,-71.08921,11323
1134,Centre St @ Paul Gore St,42.32096995,-71.11054495,1134|1159
1135,Centre St @ Sheridan St,42.32226495,-71.10884995,1135|1158
1136,Centre St @ Wyman St,42.3224599,-71.10697,1136
1137,Centre St @ Mozart St,42.32268,-71.10466,1137
1138,Centre St @ Estrella St,42.32286,-71.1029799,1138
11384,Dartmouth St @ Back Bay Sta,42.34734575,-71.0758604,23391|11384|23391_ar|176
11388,Huntington Ave @ Belvidere St,42.34543495,-71.081985,11388|1399
1139,Mt Vernon St opp Harbor Point Blvd,42.31850495,-71.04425,1139|42111
11390,Dalton St @ Boylston St,42.3477799,-71.08548,11390
11391,Boylston St @ Massachusetts Ave,42.3473899,-71.08749,11391
1140,Centre St @ Highland St,42.32479,-71.0975699,1140
1141,Centre St @ Marcella St,42.32607495,-71.09659500000001,1152|1141
11410,Cambridge St @ Max Ave,42.371960175,-71.087431675,11410|1420|camb638
11413,Columbus Ave @ Walnut Ave,42.31340995,-71.09521495,1743|11413
11419,A St @ Mt Washington Ave,42.3464399,-71.0516199,11419
1142,Centre St @ Cedar St,42.32766495,-71.09566495,1151|1142
1143,Centre St @ Linwood St,42.32857,-71.0949999,1143
1144,Centre St @ Highland Ave,42.32966,-71.09303,1144
1145,42A John Eliot Sq,42.33002995,-71.09144495000001,1149|1145
1146,42 Dudley St,42.3294,-71.0891299,1146
1147,Dudley St @ Shawmut Ave,42.32897,-71.08621,1147
11481,Herald St @ Harrison Ave,42.3463,-71.06336,11481
11482,Dudley St @ Clifton St,42.31874495,-71.0691949,11482|1501
115,Northern Ave @ Federal Courthouse,42.3534249,-71.04695,115|215
1150,Centre St @ Gardner St,42.3293899,-71.0940999,1150
11501,Dudley St @ Virginia St,42.31755995,-71.06628995,1481|11501
11512,Bowdoin opp Mt Ida,42.30722,-71.0659999,11512
11521,131 Morton St,42.30014,-71.1064199,11521
1153,Centre St @ Columbus Ave,42.32497245,-71.09819494999999,1262|1153|1219
11531,Jackson Sq Station @ Orange Line,42.3231299,-71.09959,11531_0|11531|11531_1|11531_ar
11532,W Broadway @ Linsky Barry Ct,42.33979495,-71.05239495000001,162|11532
1154,Heath St @ Bromley St,42.32531495,-71.09960995,1154|1753
11545,Lee St @ Boylston St,42.3259849,-71.140495,81916|11545
1155,Centre St @ Bickford St,42.3229499,-71.10227,1155
1156,Centre St @ Sunnyside St,42.3226799,-71.10572,1156
11592,Ruggles St @ Cabot St,42.3338599,-71.0871699,11592
11593,Ruggles St opp Kerr Way,42.33319,-71.0860199,11593
1160,S Huntington Ave @ Moraine St,42.3196199,-71.11173,1160
11609,Centre St @ S Huntington Ave,42.3200899,-71.11134,11609
11613,W Boundary Rd @ Washington St,42.2674299,-71.14999,11613
11618,Georgetowne Dr @ Georgetowne Pl,42.2556399,-71.1437099,11618|11618_1
1164,Centre St @ Myrtle St,42.31331,-71.1141599,1164
1165,Washington St @ W Walnut Pk,42.3163749,-71.09771,1187|1165
1166,Washington St @ Cobden St,42.3174949,-71.09660995,1186|1166
1167,Washington St opp Dimock St,42.318904950000004,-71.09521495,1167|1185
11673,209 Cambridge St,42.452955,-71.15805499999999,11673|8258
1168,Washington St @ Townsend St,42.32005995,-71.0940399,1168|1184
11689,Burlington Mall Rd opp NE Executive Pk,42.4859199,-71.2117299,11689
1169,Washington St @ Brinton St,42.32083995,-71.09304495,1183|1169
11694,S Bedford St @ Wayside Rd,42.48420995,-71.194845,11694|49738
117,Congress St @ Haymarket Sta,42.3618499,-71.05772,117_ar|117
1170,Washington St @ ML King Blvd,42.32175995,-71.09182494999999,1170|1182
11712,Blue Hill Ave @ Morton St,42.2841349,-71.091465,1731|11712|526
11719,Blue Hill Ave opp Babson St,42.270309999999995,-71.09369495,11719|1723
1172,Washington St @ Dale St,42.32337495,-71.08958494999999,1172|1181
1173,Washington St opp Cedar St,42.32420495,-71.08878999999999,1180|1173
11735,Ames St @ Franklin Field,42.2900999,-71.08269,11735_0|11735
11736,Ames St @ Westview St,42.2906099,-71.08639,11736|11736_0
1174,Washington St @ Circuit Terr,42.32592995,-71.08778995,1174|1179
1175,Washington St @ St James St,42.327459950000005,-71.08713495,1178|1175
11771,Vassar St @ Massachusetts Ave,42.360264900000004,-71.09466499999999,11771|vassmass
11780,Ave Louis Pasteur @ Longwood Ave,42.338452399999994,-71.10225750000001,11780_ar|11780|11802_0|11802
11781,Ave Louis Pasteur @ The Fenway,42.34024995,-71.10090995,11799|11781
118,Causeway St @ Medford St,42.36628,-71.05949,118
11803,Longwood Ave @ Binney St,42.3381999,-71.10594,11803_0|11803
11809,Mountfort St @ Carlton St,42.3488499,-71.10858,11809
11835,Chestnut Hill Ave opp Buckminster Rd,42.3323649,-71.14675495,11917|11835
11836,145 Grove St opp Bellingham Rd,42.30434495,-71.1501,21916|11836
11837,Grove St @ South St,42.3026299,-71.15217999999999,1895|11837
11839,Corey St @ LaGrange St,42.3003899,-71.16986,11839|11839_ar
11845,Chestnut Hill Ave @ Ackers Ave,42.330009950000004,-71.14595994999999,11845|91916
11853,Chestnut St opp Oak St,42.27699495,-71.2374449,81852|11853
11860,Robert St @ Belgrade Ave,42.2867837,-71.13106999375,1867|797_ar|11860|794|797
11868,5 Walter St opp Hewlett St,42.28905495,-71.13400495,11868|1860
11891,Pearl St @ Congress St,42.3574999,-71.05625,11891
1191,Cambridge St @ Lincoln St,42.3574599,-71.1280399,1191
11939,Centre St @ Eliot St,42.3096499,-71.11576,11939
1195,Cambridge St @ Emery Rd,42.3542799,-71.13585,1195
120,Rivermoor St @ Industrial Park,42.2784499,-71.17781,120_ar|120
1203,N Beacon St @ Birmingham Pkwy,42.35799,-71.15439,1203
121,Columbia Rd @ JFK/UMASS Station,42.3206799,-71.05239,121|121_0|121_ar
1213,Faneuil St @ Bigelow St,42.35122495,-71.16741495,1213|1214_ar|1214
12144,Huron Ave opp Park Ave,42.378924999999995,-71.148505,12149|12144
12145,Huron Ave opp VFW Post 8818,42.380105,-71.15257995,12148|12145
12146,Opp 700 Huron Ave,42.381219900000005,-71.154635,12147|12146
1215,Columbus Ave @ Bray St,42.317155,-71.09826995,1215|1266
1216,Columbus Ave @ Dimock St,42.3195549,-71.09834995,1265|1216
1218,Columbus Ave @ Ritchie St,42.322335,-71.09844495,1264|1218
122,Columbia Rd @ Dorchester Ave,42.320686175000006,-71.0568162375,355|136|302|122
1221,Columbus Ave @ Cedar St,42.32803995,-71.09711494999999,1221|1260
1222,Columbus Ave @ Malcolm X Blvd,42.3311899,-71.09447,1222
1224,Tremont St opp Prentiss St,42.332889949999995,-71.09236,1257|1224
