type,lat,lon,name
shopping,34.1511178,-118.0725685,Hastings Ranch Shopping Center
shopping,34.1383402,-118.0120107,Huntington Oaks Shopping Center
shopping,34.1041753,-118.074235,Elm Center Shopping Center
shopping,34.1147303,-118.0731239,Temple City Square Shopping Center
shopping,34.1355636,-118.2159068,Eagle Rock Plaza Shopping Center
shopping,34.1508333,-118.0816667,Hastings Village Shopping Center
shopping,34.1280634,-117.8917287,Foothill Center Shopping Center
shopping,34.0852872,-117.8717279,Berkeley Square Shopping Center
shopping,34.1075089,-117.7958921,Canyon Shopping Center
shopping,34.1208423,-117.7061671,Claremont Heights Shopping Center
shopping,34.1080648,-117.7378345,Foothill And Towne Shopping Center
shopping,34.1077866,-117.8189485,Foothill Village Shopping Center
shopping,34.1063978,-117.8086703,Frontier Village Shopping Center
shopping,34.1061203,-117.7472793,Garey Shopping Center
shopping,34.1297301,-117.8656167,Glendora Shopping Center
shopping,34.0733431,-117.8717279,Grand Creek Shopping Center
shopping,34.1277859,-117.8295044,Lone Hill Shopping Center
shopping,34.1291745,-117.882284,College Center Shopping Center
shopping,34.0716762,-117.957842,Baldwin Park Towne Center Shopping Center
shopping,34.0869535,-117.9058958,Covina Square Shopping Center
shopping,34.1050085,-117.9056181,Covina Town Square Shopping Center
shopping,34.0897312,-117.9089516,Covina Village Shopping Center
shopping,34.0736208,-117.8856173,Eastland Shopping Center
shopping,34.1147304,-117.9050626,Edgewood Shopping Center
shopping,34.0094561,-117.9620088,Gale Square Shopping Center
shopping,34.0580656,-117.937008,Glenvine Shopping Center
shopping,33.9747351,-117.8392261,Country Hills Town Center Shopping Center
shopping,33.9869569,-117.902562,Eastwood Village Shopping Center
shopping,33.9858459,-117.8708941,Fairway Plaza Shopping Center
shopping,34.0702874,-117.9328411,Plaza At West Covina Shopping Center
shopping,34.0105675,-117.8856171,Quail Ridge Shopping Center
shopping,34.0483438,-117.9072847,South Hills Plaza Shopping Center
shopping,34.0505659,-117.9453415,South Hills Shopping Center
shopping,34.0519546,-117.9536752,Sunset Square Shopping Center
shopping,34.026678,-117.8945064,Walnut Hills Plaza Shopping Center
shopping,33.9900123,-117.9328408,Bixby Hacienda Plaza Shopping Center
shopping,34.0886201,-117.9350636,Irwindale Square Shopping Center
shopping,33.9955679,-117.90784,The Plaza At Puente Hills Shopping Center
shopping,34.0783427,-117.9072848,West Covina Plaza Shopping Center
shopping,33.9936234,-117.9272852,Puenta Hills Mall Shopping Center
shopping,33.9897345,-117.9253405,Ross Plaza Shopping Center
shopping,34.10612,-117.8058924,Puddingstone Shopping Center
shopping,34.1075088,-117.8272821,San Dimas Plaza Shopping Center
shopping,34.0014013,-117.8097811,Towne Centre Village Shopping Center
shopping,34.073621,-117.8286709,Via Verde Plaza Shopping Center
shopping,34.1077871,-117.7300566,Alpha Beta Shopping Center
shopping,34.0805658,-117.7206118,Claremont Center Shopping Center
shopping,34.1075094,-117.703667,College Center Shopping Center
shopping,34.1077871,-117.7233897,Griswolds Old School House Shopping Center
shopping,34.0897321,-117.7183895,Pepper Tree Square Shopping Center
