tag,title,lat,lon
660,Cesar E Chavez / Spring,34.0581,-118.23881
662,Cesar E Chavez / Ditman,34.04037,-118.1894099
664,Cesar E Chavez / Evergreen,34.0434999,-118.2006099
665,Cesar E Chavez / Ford,34.0404499,-118.16885
666,Cesar E Chavez / Fresno,34.0417099,-118.1965899
667,Hooper / 48th,33.9994499,-118.25223
669,Cesar E Chavez / Hazard,34.0404099,-118.18002
670,Cesar E Chavez / Humphreys,34.04044,-118.1715399
671,Cesar E Chavez / Indiana,34.04035,-118.19213
674,Cesar E Chavez / Marianna,34.0404199,-118.17539
675,Cesar E Chavez / McDonnell,34.04046,-118.1666699
676,Mednik / Cesar E Chavez,34.0407399,-118.16199
677,Cesar E Chavez / Mott,34.0450999,-118.2042599
678,Cesar E Chavez / Progress,34.05283,-118.22244
679,Cesar E Chavez / Record,34.0404,-118.18193
681,Cesar E Chavez / Saint Louis,34.0484,-118.21169
682,Cesar E Chavez / State,34.05004,-118.21535
683,Cesar E Chavez / Vignes,34.0568299,-118.23214
684,Cesar E Chavez / Warren,34.05224,-118.22023
685,Chandler / Beck,34.1687799,-118.38369
686,Chandler / Colfax,34.1688099,-118.3875699
687,Chandler / Corteen,34.16877,-118.40217
688,Chandler / Laurel Canyon,34.1687799,-118.39627
689,Chandler / Radford,34.16879,-118.3923199
690,Chandler / Tujunga,34.1689899,-118.37928
691,Chandler / Whitsett,34.16877,-118.4050299
692,Chase / Hazeltine,34.2252999,-118.44064
693,Chase / Katherine,34.22485,-118.4431899
694,Chase / Lennox,34.22471,-118.4461199
695,Chase / Ranchito,34.22658,-118.4372199
696,Van Nuys / Chase,34.2244899,-118.4489099
697,Chase / Woodman,34.2277999,-118.4345399
698,Lurline / Vintage,34.2519499,-118.58426
699,Louise / Chatsworth,34.2651199,-118.51086
701,Buena Vista / Alameda,34.1583699,-118.32834
702,Riverside / Laurel Canyon,34.1575399,-118.39671
703,Chatsworth Station,34.2533799,-118.59905
704,Chevy Chase / Glendale Adventist Hospita,34.15227,-118.2311299
705,Church / Farlin,34.0681399,-118.4630799
706,Church / Homedale,34.06931,-118.46409
707,Church / Joffre,34.0705299,-118.4652299
708,Cal State La Transit Center,34.0631799,-118.16869
709,Western / Pacific Coast,33.78929,-118.3074499
711,Western / Pacific Coast,33.7892099,-118.30775
712,City Terrace / Lafler,34.0574399,-118.17353
713,City Terrace / Alma,34.0487499,-118.19201
714,City Terrace / Bonnie Beach,34.0557299,-118.18114
715,City Terrace / Ditman,34.0488399,-118.18926
717,City Terrace / Herbert,34.0553599,-118.1834
718,City Terrace / Rowan,34.0542899,-118.18754
719,City Terrace / Pomeroy,34.0509,-118.18869
720,City Terrace / Van Pelt,34.0558999,-118.17679
721,Civic Center / Malibu Perf Arts Ctr,34.0365699,-118.68744
722,Civic Center / Webb,34.03594,-118.6903499
723,Civic Center / Winter Canyon,34.0370399,-118.6993399
725,Norwalk / Civic Center,33.8299899,-118.0720999
727,Clark / Ives,33.8944199,-118.1341099
728,Clark / Linden,33.8916199,-118.1340999
729,Cliffside / Dume,34.0056999,-118.80463
730,Clinton / Hoover,34.0816999,-118.2846099
732,Vanowen / Clybourn,34.19385,-118.3638399
739,Rosemead / Huntington,34.13074,-118.07332
754,Burbank / White Oak,34.17237,-118.5183699
756,Hollywood Way / Magnolia,34.1681899,-118.34695
758,Colorado / Ellenwood,34.1401,-118.21879
