zipcode,lat,lon,population,land,density
1199,42.119943,-72.604983,0,0.028489869,0
1201,42.479475,-73.24807,46504,137.0569908,339.3041079
1220,42.385595,-73.172166,8603,63.70334755,135.047848
1222,42.185969,-73.318695,829,8.56509068,96.78823389
1223,42.3418,-73.103468,2314,180.6542607,12.80899765
1224,42.3929,-73.228483,182,0.720016695,252.7719168
1225,42.482125,-73.127483,3117,65.02424149,47.93596863
1226,42.470296,-73.08895,6945,68.31870637,101.6559061
1229,42.279292,-73.343545,95,1.898461285,50.04052533
1230,42.299392,-73.26665,8430,237.0408918,35.56348416
1235,42.29237,-73.22164,2766,118.2148273,23.39808011
1236,42.291299,-73.358798,1509,12.4371229,121.3303118
1237,42.487569,-73.235048,2496,160.1208349,15.58822749
1238,42.369856,-73.267465,6047,90.21705584,67.02723719
1240,42.459202,-73.219858,4534,55.37394579,81.87966263
1242,42.338594,-73.250891,476,1.287224091,369.7879829
1243,42.356088,-73.010448,334,48.30586824,6.914273817
1244,42.122827,-73.253983,151,6.34547087,23.79650039
1245,42.18669,-73.206498,985,72.46786732,13.5922311
1247,42.426974,-73.18632,16087,136.0417155,118.2504936
1253,42.213156,-73.090434,731,47.31131281,15.45085005
1254,42.233105,-73.238358,972,37.71281687,25.77373107
1255,42.148975,-73.14861,915,134.176924,6.819354421
1256,42.367341,-73.128528,692,92.8381238,7.453834391
1257,42.314564,-73.267694,2121,93.84821917,22.6003223
1258,42.128075,-73.36089,374,66.83982315,5.59546663
1259,42.198712,-73.278543,635,65.59403887,9.680757747
1260,42.286586,-73.313274,240,6.503460144,36.90343212
1262,42.304604,-73.330001,1238,31.16791692,39.72033175
1264,42.220001,-73.197865,137,29.42485492,4.655927799
1266,42.360482,-73.265354,1463,67.47437024,21.68230685
1267,42.642075,-73.257699,7989,141.2942114,56.54159448
1270,42.443726,-73.116127,778,82.51184121,9.428949695
1301,42.601335,-72.623619,17700,66.02138691,268.0949436
1330,42.562391,-72.738152,1506,86.31394375,17.44793407
1331,42.547302,-72.183903,13263,137.8495272,96.21360532
1337,42.62706,-72.642888,2596,96.40712742,26.92746967
