from,to,routes,length,road_length,travel_time
3300,3291,22,0.2060130083098259,0.2061,2.0
3302,3295,22|55,0.25730572346497316,0.2705,1.4
3304,3306,48,0.19804502165950622,0.2018,0.08941064291935437
3304,6139,48,0.20326115224773922,0.4,0.09176554982656789
3306,3248,48,0.283556735905554,0.31210000000000004,0.12801629573409784
3306,3304,48,0.19804502165950622,0.2018,0.08941064291935437
3307,3310,37,0.12458169131959886,0.13340000000000002,1.0
3309,3307,37,0.08671508542324,0.08671508542324,0.0
3310,4089,37,0.1697463950161906,0.1698,0.0
3310,4093,37,0.08515034880481649,0.08515034880481649,1.0
3311,15247,KT|L|M,2.6314187663695354,4.1817,4.13333333333
3311,3254,KT|L|M,0.7801694836454246,0.9095,1.66666666667
3311,3314,37,0.21601282852639017,0.7307,0.0
3311,3325,35|24,0.18228961100568897,0.18228961100568897,1.1
3311,4311,24,0.18824220089140772,0.18824220089140772,1.0
3311,5654,L_OWL|F|37|K_OWL|M_OWL,0.20630361178047435,0.32010000000000005,1.5
3312,3317,22,0.18007596730037143,0.182,0.4
3312,4123,10|22,0.3351098329654933,0.3579,1.225
3312,4350,19,0.13674555781071204,0.14300000000000002,1.0
3314,4185,37,0.24681878891952036,0.25810000000000005,1.0
3317,3302,22,0.17117116738576998,0.2464,1.2
3317,3312,22,0.18007596730037143,0.182,0.4
3321,3103,22,0.2598480839075647,0.33030000000000004,1.6
3322,3283,J,0.3585051103582954,0.3845,2.0
3322,3330,33,0.18673959432478773,0.18680000000000002,1.2
3322,3344,33,0.20874030374274807,0.386,1.0
3322,6214,J,0.3443643665457288,0.3927,1.2
3324,3346,22,0.18760628666696147,0.1877,0.4
3324,4123,10|22,0.2587263621668799,0.2682,1.0
3324,4127,10,0.14565385208625023,0.1517,0.125
3325,3311,24,0.18228961100568897,0.18180000000000002,1.0
3325,3332,33,0.2766652125311537,0.2782,2.0
3325,3340,33,0.19715668326213956,0.1982,1.0
3325,4316,35|24,0.18137336863658993,0.1814,1.0
3327,3335,33,0.22833785060430795,0.5529,0.125
3327,3339,33,0.09913043939079644,0.1003,1.0
3329,3325,33,0.19966882781391032,0.201,1.8
3330,3322,33,0.18673959432478773,0.18680000000000002,1.0
3330,3333,33,0.20135555653264883,0.20140000000000002,1.0
3332,3335,33,0.2436794070569879,0.4352,0.333333333333
3332,4543,35,0.09942207202983527,0.1091,0.666666666667
3333,3330,33,0.20135555653264883,0.20140000000000002,1.0
3333,3348,33,0.19618048485156803,0.197,1.25
3335,3327,33,0.22833785060430795,0.2316,0.333333333333
3335,3329,33,0.3208665722537696,0.3215,1.0
33352,3408,18,0.14992205648045842,0.25680000000000003,2.0
3337,3321,22,0.17015865982786038,0.17015865982786038,1.0
3338,3348,33,0.184188913261271,0.1856,1.0
3338,5558,14|49,0.40839850443314163,0.4181,1.7
3339,4079,33,0.16532498545707983,0.4561,1.0
3340,3325,33,0.19715668326213956,0.1982,1.0
3340,3344,33,0.19614342803805848,0.37460000000000004,0.8
3342,3337,22,0.2195232276629083,0.2195,0.4
3342,3346,22,0.1714831496138016,0.1715,0.0
3344,3322,33,0.20874030374274807,0.2089,1.0
3344,3340,33,0.19614342803805848,0.37460000000000004,0.5
3346,3324,22,0.18760628666696147,0.1877,0.4
3346,3342,22,0.1714831496138016,0.1715,0.3
33476,3483,67|48,0.19009305809491817,0.1901,1.5
33476,3485,12|48,0.19640893106037877,0.19640893106037877,1.9
33476,3540,14R,1.1468286430784491,1.6149000000000002,4.8
33476,3935,14|49,0.43552466089499514,0.4423,2.1
33476,5557,14R,0.7612126511851466,1.203,3.0
33476,5561,14|49,0.39441615969043403,0.5822,2.0
3348,3333,33,0.19618048485156803,0.197,1.0
3348,5553,33,0.22122208491142836,0.2832,2.5
33511,3480,33,0.16851757671913964,0.2536,1.0
3354,3378,91|28,0.11221861403845229,0.11221861403845229,0.0
3354,3402,91|M|M_OWL|28,0.43951544784098645,1.1714000000000002,2.3
3354,3404,57,0.14269712395717182,0.5506000000000001,2.0
3354,4546,57,0.20871477806676933,0.44630000000000003,1.0
3354,6223,M,0.12813701236982689,0.25980000000000003,0.3
3356,3363,28,0.4609928535353888,0.4902,1.0
3356,3376,M|M_OWL,0.6242865921608193,0.6613,2.5
