tag,title,lat,lon,merged
10167,Woodbine Ave At Corley Ave,43.676484900000005,-79.30895495,1461|10167
10168,3377 Bayview Ave,43.7969899,-79.3945199,10168
10169,Kipling Ave At Gracey Blvd,43.68361995,-79.55378,10169|10288
10170,Willowdale Ave At Hillcrest Ave,43.7698799,-79.4022399,10170
10171,Railside Rd (West) At Lawrence Ave East,43.740744899999996,-79.324505,10171|8294
10172,Weston Rd At Coulter Ave,43.7046599,-79.52840995,10172|9474
10174,Thorncliffe Park Dr At Milepost Pl,43.7033099,-79.3469399,10174
10175,Ossington Ave At Harbord St South Side,43.658436249999994,-79.4241187125,10175|1223|1796|9915
10176,Eglinton Ave East At Mason Rd,43.74194,-79.2249499,10176
10177,Carrier Dr At Dansk Crt,43.74367495,-79.61465000000001,10177|7735
10178,Don Mills Rd At Kern Rd,43.75025495,-79.34694495,10178|6749
10179,Lawrence Ave East At Leslie St,43.7343025,-79.35600747500001,10179|458|9510
1018,Sheppard Ave East At Scunthorpe Rd West Side,43.7930699,-79.24284,1018
10180,Milner Ave At Progress Ave East Side,43.7903899,-79.23308,10180
10181,Coxwell Ave At Fairford Ave,43.67554495,-79.32022495000001,4650|10181
10182,Lansdowne Ave At Rideau Ave South Side,43.6465099,-79.43894995,5811|10182
10183,Cummer Ave At Fleming Dr,43.7943299,-79.38487,10183
10184,Brimley Rd At Finch Ave East,43.80564495,-79.27734745000001,5913|10184|6326|1317
10185,Eglinton Ave West At Old Park Rd,43.6998449,-79.43089,4814|10185
10186,Rathburn Rd At Renforth Dr,43.65131495,-79.57979995,9929|10186
10187,Danforth Rd At Seminole Ave North Side,43.74797495,-79.24453995,10187|5335
10189,Finch Ave East At Bridletowne Circle (West),43.7958749,-79.31929,10189|5537
1019,Bathurst St At Sheppard Ave West,43.755534975,-79.43888000000001,3525|1019|3111
10190,Cosburn Ave At Cedarvale Ave,43.69684495,-79.31554994999999,9522|10190
10191,Dufferin St At Shanly St,43.6628599,-79.4365499,10191
10192,Kipling Ave At Advance Rd,43.63327,-79.5319,10192
10194,Lawrence Ave East At Railside Rd (East),43.74115995,-79.31968495,10194|4635
10195,Don Mills Rd At Finch Ave East,43.79258495,-79.3543275,1889|10195|9175
10196,Heathrow Dr At Datchet Rd,43.72574995,-79.50809495,10196|4398
10198,King St East At Sumach St,43.65567,-79.3583299,10198
10199,Keele St At Whitburn Cres,43.736935,-79.48451,10199|7134
1020,Edgeley Blvd At Cidermill Ave,43.8046699,-79.53536,1020
10200,2481 Birchmount Rd,43.7870099,-79.3006899,10200
10201,North Queen St At Medulla Ave,43.6213949,-79.54536,10201|7854
10203,Dundas St West At Howland St,43.663819950000004,-79.50353495,2646|10203
10204,Keele St At Barrhill Rd,43.85027,-79.51126,10204
10205,Queen St West At Gladstone Ave East Side,43.64258995,-79.42671495,10205|6528
10206,Gerrard St East At Victoria Park Ave West Side,43.686849949999996,-79.28690995,10206|5266
10207,Vaughan Rd At Kenwood Ave,43.687615,-79.42363499999999,5431|10207
10208,Pape Ave At Torrens Ave North Side,43.6916999,-79.3495699,10208
10209,Royal York Rd At Anglesey Blvd North Side,43.66595615,-79.5197537375,2399|3864|10209|1157
1021,Jane St At Stong Crt,43.7618799125,-79.5186774125,3925|978|4951|1021
10210,Lawrence Ave East At Carnforth Rd East Side,43.74152995,-79.31391495,10210|8493
10211,Wilson Ave At Ridley Blvd,43.73941000000001,-79.4236899,1186|10211
10212,Willowdale Ave At Hollywood Ave South Side,43.7678099,-79.4013599,10212
10213,Jane St At Courage Ave,43.7447649,-79.5145299,10213|1840
10214,Van Horne Ave At Kingslake Rd,43.7866449,-79.34535489999999,8848|10214
10215,Mimico Ave At Wheatfield Rd,43.61309,-79.4928899,10215
10216,Steeles Ave West At Palm Gate Blvd,43.794419950000005,-79.43653495000001,10216|4449
10217,Lake Shore Blvd West At Louisa St,43.618957425000005,-79.48649495,10217|8858|14350
10218,Yonge St At Gerrard St East,43.65896,-79.38195,10218
10219,Bergamot Ave At Islington Ave West Side,43.71686,-79.5567199,10219
