from,to,routes,length,road_length,travel_time
526,3838,106,0.14719688066297665,0.1502,0.0
527,6909,196,0.32008003084769865,0.3533,0.777777777778
528,1077,131,0.28130699866965847,0.3595,0.2
528,1814,132,0.20996626834831061,0.25730000000000003,0.5
528,3944,131|132,0.17702504681760564,0.17702504681760564,0.916666666667
530,528,131|132,0.27838650346554283,0.2893,0.4
530,2163,131,0.269800256037235,0.32439999999999997,0.5
532,4133,324|167|85|385,0.2560589946234756,1.8221,1.0
534,5000,85|385,0.3554511653206248,0.35960000000000003,0.6
534,5922,85,0.12037555313934299,0.7487,0.6
535,532,324|167,0.14574578460689555,0.1481,1.0
535,2068,167|85|385,0.07112977496236882,0.9083,0.4
535,4133,190,0.4013215496852585,0.5047,1.0
535,4225,24,0.3265628857993458,1.1827,1.0
536,1458,384|120|84,0.25960235112826885,0.2657,0.733333333333
536,2777,335|35,0.5164670562804075,1.0739,0.857142857143
536,3227,335|35,0.21302205760106896,1.3124,0.909090909091
536,5079,195,0.8572086835480319,1.9727999999999999,2.25
536,5794,99|384|84,0.3212357406523843,1.4565000000000001,0.8125
536,7300,195,1.1776290515150685,1.6798,2.0
537,981,384|108|84,0.3857987482946743,0.3954,0.802083333333
537,4365,106|108|84|384,0.23684161527545475,0.2456,0.633333333333
538,1632,84|384|108|106|107,0.3172892367159248,0.3466,0.814935064935
541,880,80,0.1944681822563471,0.5352,1.0
541,6397,315|123|15,0.48389694416775386,0.604,1.4
541,7836,123,0.14847584557340196,0.26639999999999997,0.0
552,426,64|306|135|506,0.46785442965581275,0.5147999999999999,1.06666666667
552,800,306|506,0.23236569567617932,0.24480000000000002,0.5
552,1587,64,0.20784236439746986,0.20800000000000002,1.0
552,2190,135,0.2494351224154375,0.25860000000000005,1.0
558,6534,102,0.4034410712327393,0.4049,1.0
558,8777,102,0.34839053611733006,0.4923,0.21564412943902075
558,14127,102,0.23861562821234406,0.3599,0.1476964902372283
560,3473,191,0.18544498822763117,0.1885,0.333333333333
561,562,186,0.6865174262270746,0.6927000000000001,0.42493534518284665
561,1683,396|46,0.23513682213271567,0.2501,0.375
561,1698,396|46|96,0.18141378225343985,0.1871,0.361111111111
561,1985,96,0.2434858292807524,0.2775,0.416666666667
561,5099,96,0.06570506691547418,0.06570000000000001,0.0
561,5685,186,0.7646482667589465,0.9849,0.47329617976981225
562,561,186,0.6865174262270746,0.7015,0.42493534518284665
562,1698,396|46|96,0.5051328618160142,0.5056,0.75
562,2016,186,0.9915306465981719,1.0207000000000002,0.6137301129952712
562,2723,46,0.45815414285585837,0.4627,1.0
562,4060,396|96,0.3406954724951397,0.3554,0.666666666667
564,2289,130|302|169|129,0.3636122671218302,0.3639,0.966666666667
564,6068,130|302|129,0.12651271324229138,0.1263,0.875
565,4611,16|302,0.37097977224773504,1.9077000000000002,2.0
565,14276,134|9,0.5026539235993273,2.5958,0.3111289100206218
566,8492,129,0.371811323847613,0.3757,0.0
567,566,129,0.35857671635005556,0.3643,1.0
568,1571,302|129,0.16076392475074744,0.16440000000000002,2.9
570,573,42,0.2863980286458924,0.2965,0.8
570,3283,42,0.21835662407758397,0.2261,0.125
571,1259,42|17,0.21925598205939661,0.22030000000000002,0.0
571,2851,42,0.428168217142109,0.4413,1.0
573,3931,39,0.42463818835103734,0.4728,0.262839322428332
573,5831,42,0.3928295013253089,0.3962,1.0
573,8403,42,0.1262154689846825,0.1262154689846825,0.25
574,4009,395|86,0.23306026505449004,0.8478,0.0
574,4343,395|385,0.04669517897365082,0.04669517897365082,0.028903027421448103
574,7038,85|86,1.054838729950133,1.109,0.652916069861473
576,1076,116,0.9381418422389035,1.0777,3.0
577,1335,56,0.3608380943106504,0.3619,0.666666666667
578,1197,100|25|325|81,0.6261346790242166,1.2361,1.0
578,1393,56,0.5936645694147203,1.8934000000000002,1.0
578,2900,100|81,0.23231917552769837,0.24930000000000002,0.5
579,2100,131,0.1773792295805078,0.252,0.0
579,5472,131,0.36066547299751894,0.4101,0.0
579,7067,116,0.4118574009503699,0.41500000000000004,0.8
580,1763,116,0.5631461723859741,1.7328,1.2
580,2100,131|116,0.35085867258504083,0.7929,0.333333333333
580,2757,131,0.33262555233115626,1.5301,0.0
581,582,53|133|199,0.4003325319585696,0.4076,0.0
582,4594,53|133|199,0.28971336952943033,0.38139999999999996,1.0
583,485,52,0.27228716177890033,0.26680000000000004,0.1685382404861255
583,14784,52,0.3333187905956203,0.3379,0.2
585,586,52,0.33396378156320883,0.3409,0.5
585,4215,52,0.10553634223655697,0.15669999999999998,1.0
586,585,52,0.33396378156320883,0.6234,0.8
586,589,52,0.23166170057949242,0.2317,0.0
588,586,52,0.1534127984423631,0.1534,0.2
589,4714,52,0.17683595810658304,0.177,0.6
591,503,34|54|51|334|354|56,0.2339511995037661,0.2767,0.866666666667
591,7122,141|74,0.2827530607746776,0.2828,1.0
592,675,141,0.5638738101529356,0.5807000000000001,0.4542439945696812
594,592,141,1.7351387550257753,1.8035999999999999,1.3977885566307824
595,5004,133|334,0.3569476944051412,0.6403,0.8
598,3425,161,0.1909748285604909,0.19090000000000001,0.8
598,4196,63|363,0.2992333118574673,0.3093,1.0
598,9182,161|63|363,0.21177518861355837,0.2321,0.6
599,4058,100|8,0.22555358054987587,0.2447,0.625
599,6177,100|25|325|81,0.16535464242447193,0.16535464242447193,0.04
599,10324,8,0.24957844335603055,0.2567,0.0
599,14956,25|325|81,0.32741752814500336,0.32930000000000004,0.35
600,601,127,0.07095670442717618,0.0838,0.0
600,1686,41|168|341,0.290887480066681,0.30319999999999997,0.4
601,428,312|512,0.3923753090049782,0.9998,2.9
601,600,127,0.07095670442717618,0.0838,0.0
601,2398,312,0.2261443537039421,0.3097,0.13997711541054333
601,5382,127|168,0.27922811135530884,0.2931,0.444444444444
601,10238,512,0.2908962992570664,0.6407,2.2
605,2502,63,0.15718609443933723,0.15719999999999998,0.09729385554800227
606,1172,363,0.2256289940501602,0.22590000000000002,0.13965812200410258
606,5360,300,0.3205538948904169,0.5515,0.2582309713061509
606,5821,63|363,0.23274296483167678,0.2328,0.1440614736368178
609,1335,88,0.42602780466842727,0.7055,1.0
609,2900,25|88|325,0.16683507636594516,0.16683507636594516,0.433333333333
611,937,100|25,0.20582770062384367,0.20582770062384367,1.0
611,1049,185,0.8526137007334891,0.9387000000000001,2.0
612,1874,185,1.0973241645784078,1.0991,3.0
612,1941,25|325|81,0.2730968330934737,0.2722,0.5
612,1987,72,0.10754211446380069,0.10754211446380069,0.875
614,615,65|306|506|365,0.24246244136907855,0.4128,1.2
614,1694,306|506,0.2124330668081477,0.2301,0.416666666667
614,2942,65|365,0.19642292170009396,0.7118,0.8
615,614,65|306|506|365,0.24246244136907855,0.2426,1.0
615,2615,306|506,0.24557499977040864,0.263,0.6
615,4204,65|365,0.15235534952534371,0.1524,0.5
616,9302,57,0.17894064790031405,0.19519999999999998,0.4
617,669,35|84|60,0.40932755158899636,0.48160000000000003,0.5
617,1191,84,0.4147099553289418,0.5548,0.2566940201168005
617,1902,60,0.4194407254165677,5.9879,0.4375
620,3888,38,0.4086255021322847,0.4089,0.75
