from,to,routes,straight-distance,road-distance
5543,7256,11,0.6767869639891015,0
5544,5309,9,0.38000067933827464,0
5549,1945,7,0.2757858838368794,0
5563,3190,15,0.27600024090747227,0
5579,7054,11,0.3536788276232321,0
5580,6737,6,0.16303408935343564,0
5583,10380,8,0.2065249945288625,0
5614,2606,11,0.13332447853965376,0
5616,264,6,0.316633012648752,0
5624,1496,14,0.13765759440195208,0
5626,14307,9,0.35243034773289467,0
5634,4889,7,0.1820710866051546,0
5650,6540,8,0.18567985585885743,0
5662,5486,8,0.20865857061364806,0
5668,5634,7,0.20971189223867207,0
5736,8477,9,0.14460243841385356,0
5739,1609,7,0.20754445650743888,0
5749,8619,15,0.37500652535145096,0
5753,5910,11,0.23990844332122094,0
5824,3788,15,0.2262460839887275,0
5861,1661,11,0.22345627570565837,0
5869,6712,9,0.19431024421683218,0
5872,4558,9,0.4575954242856028,0
5882,2753,15,0.20427450777971873,0
5888,8415,15,0.33118002757368603,0
5910,6427,11,0.1404488557715276,0
5912,9729,7,0.253674238874731,0
5920,2169,11,0.4501922789747471,0
5932,8840,9,0.31417854306044124,0
5943,4437,6,0.17781733184312337,0
5945,5490,12,0.35081560589191635,0
5949,9042,15,0.15921731426011998,0
5956,1677,6,0.2082142918784865,0
5975,1757,12,0.07715110483080369,0
5975,6498,9,0.2772898866841301,0
5979,4324,14|7,0.2988103566134012,0
5981,2129,5,0.2116248298590034,0
5983,8615,5,0.2369390287193253,0
6012,6067,12,0.2884095925076812,0
6016,8931,5,0.20283742851912379,0
6026,7265,9,0.2453668916330424,0
6034,9765,7,0.2107499364512287,0
6054,3605,7,0.3603156205628111,0
6067,6581,12,0.16247246420719577,0
6069,5512,11,0.19117080515521506,0
6070,9364,8,0.18939115439880364,0
6100,727,14,0.24970323028527724,0
6107,853,11,0.3422489130719267,0
6112,5583,8,0.21067899347927255,0
6130,6526,7,0.3664390659485022,0
6134,12887,15,0.18146181189657246,0
6166,6265,7,0.2886706449471359,0
6168,2963,12,0.1694187909340421,0
6172,2802,12,0.359600915000989,0
6192,10233,8,0.19735190663303417,0
6222,6986,10,0.2197354768504426,0
6234,1413,6,0.18661726992836503,0
6241,1758,12,0.3134122119852088,0
6247,2586,15,0.24728476615272893,0
6265,7574,7,0.15235984081480283,0
6277,14305,12,1.6641049709864923,0
6281,7267,7,0.16321220621331078,0
6292,7745,11,0.19548843740487326,0
6297,5037,7,0.12050899203994793,0
6300,15394,11,0.14698070117766468,0
6311,7174,6,0.19754829017336725,0
6328,10326,5,0.20546486930157035,0
6331,1793,7,0.31593396431289666,0
6335,9464,7,0.18204721676619984,0
6347,15280,6,0.15357475909358287,0
6357,7677,5,0.22579844030323815,0
6397,10306,15,0.24691664013336082,0
6400,1270,7,0.3286795879464767,0
6427,8627,11,0.2074367262471921,0
6429,8521,14,0.24653502132204774,0
6448,8382,14,0.22708735082779255,0
6498,4688,9,0.2881654587176114,0
6526,8157,7,0.1893754070191127,0
6540,5251,8,0.1392009415071805,0
6550,707,7,0.44104493710969617,0
6565,9823,9,0.4566849211194631,0
6569,8365,11,0.13409652409471498,0
6579,9791,15,0.18832550374187831,0
6581,1949,12,0.2506808511172646,0
6585,4768,9,0.18219297447676802,0
6603,1886,9,0.3544112268469765,0
6612,1329,10,0.3936768990038116,0
6626,1019,7,0.3500250865878062,0
6632,6107,11,0.3628869871548403,0
6683,6626,7,0.4397880022939597,0
6712,5975,9|12,0.2057159682176419,0
6734,8920,5,0.34538455396318646,0
6737,8823,6,0.1853605406924322,0
6743,8337,11,0.26970722395653224,0
6768,6192,8,0.2181704278452404,0
6793,2359,6,0.27691505442629355,0
6809,966,8,0.225758208149479,0
6854,7845,14,0.43562978111268585,0
6869,9544,15,0.16507442857585958,0
6878,3480,10,0.4350856787817762,0
6886,8178,11,0.25519026422230046,0
6904,1163,10,0.35079071346676666,0
6917,9536,12,0.33621901607045107,0
6939,4138,6,0.16814027534164988,0
6960,7904,9,0.44559086216953603,0
6965,2275,12,0.19516209681131763,0
6986,2160,10,0.2316099864047577,0
6991,5046,5,0.19305278296929856,0
6993,9198,7,0.15204135215871825,0
6997,2250,12,0.14484387855442787,0
7014,4158,12,0.2860225821232279,0
7020,1939,12,0.22481155649573897,0
7029,8684,11,0.2574275337442886,0
7054,7029,11,0.3068159313861804,0
7056,9451,12,0.2815453855438745,0
7066,9249,15,0.22064230408937677,0
7126,5882,15,0.18910216633396043,0
7133,1430,12,0.20430788676612907,0
7147,2671,10,0.13730890641192445,0
7151,5650,8,0.2445798821929906,0
7167,1143,7,0.1942820481612463,0
7174,5077,6,0.16196541325607314,0
7223,9706,11,0.2937537653339407,0
7229,3201,15,0.14874002264381278,0
7240,8446,8,0.29399023833346194,0
7256,2896,11,0.29075122600487247,0
7258,5912,7,0.33040153266904343,0
7260,3018,9,0.2521223277622327,0
7265,6565,9,0.22266261786055497,0
7267,8571,7,0.14111357738101207,0
7285,2675,14,0.22001076890428262,0
7303,2262,9,0.26377187902881366,0
7356,2482,9,0.1780009822276363,0
7388,4932,7,0.20865365459098065,0
7405,811,9,0.29858872822852806,0
7435,7836,15,0.41283429609672817,0
7438,7494,5,0.24717051576465546,0
7447,6300,11,0.20508699246707554,0
7462,2349,11,0.21619599048942664,0
7466,265,11,0.2186123790859627,0
7483,9704,14,0.2500945628453758,0
7484,9693,11,0.23762624933167573,0
7486,7356,9,0.22195928337450258,0
7494,5983,5,0.17280656523457877,0
7505,6939,6,0.14966947718076984,0
7514,5532,12,0.21477290493558177,0
7536,4411,6,0.1462720483216991,0
7537,6247,15,0.23357596340581474,0
7538,6429,14,0.20468012550167425,0
7542,5542,6,0.24318912625796396,0
7559,2073,11,0.2246462161845611,0
7574,8320,7,0.22609463015981054,0
7593,7260,9,0.355946846271479,0
7601,6166,7,0.2976996167077698,0
7605,2493,7,0.25715764434123833,0
7640,10040,14,0.19386355194230392,0
7675,5198,7,0.20577246321541012,0
7677,8258,5,0.19589022349761004,0
7686,14779,12,0.4440120526317098,0
7720,3922,12,0.2730547896658088,0
7723,2498,10,0.2790203508308591,0
7730,8126,5,0.24346174628818734,0
7731,1315,14,0.2479460484767759,0
7732,7675,7,0.19414315344277017,0
7743,10297,15,0.2735073206724259,0
7745,2685,11,0.19179809557504238,0
7751,3589,6,0.20734564396226587,0
7760,5749,15,0.23780902179259453,0
7763,4854,5,0.25563913836164737,0
7806,5668,7,0.34308205429098615,0
7811,5869,9,0.2608779860542693,0
7835,6400,7,0.15356642238515722,0
7836,4588,15,0.2419220139053729,0
7845,3486,14,0.08839425839879535,0
7857,2966,12,0.13596492378773756,0
7858,8093,5,0.22709973361461364,0
7882,3891,15,0.2598798011356212,0
7896,3724,11,0.21057641224513154,0
7903,8948,15,0.252936938982321,0
7904,3897,9,0.18523901012061303,0
7920,3050,7,0.2982575747921791,0
7921,8160,12,0.21336891391184434,0
7941,6960,9,0.23328810486322,0
7942,1839,11,0.3501253117743449,0
7967,7505,6,0.18276490656557945,0
7973,8831,7,0.1804241334442492,0
7994,1164,7,0.12236962479608386,0
8003,2106,6,0.3621144549286079,0
8008,3519,6,0.1518233525539482,0
8013,5177,11,0.2791749410748735,0
8038,5524,9,0.24250006229362914,0
8043,1605,15,0.28285970799053617,0
8044,7903,15,0.23380643413448376,0
8067,9775,11,0.22183830575395896,0
8080,6331,7,0.26936777994280875,0
8093,1405,5,0.16531636740540803,0
8107,4872,12,0.15440463355925135,0
8107,6012,12,0.06270417364462075,0
8126,1920,5,0.13237318758246083,0
8137,10065,7,0.17833015327333532,0
8152,852,11,0.09802535552161917,0
8154,4266,15,0.1687353707006074,0
8157,7258,7,0.24486327607086508,0
8160,7857,12,0.18571758684031694,0
8167,4956,9,0.2930954670373817,0
8178,5258,11,0.2865770356367245,0
8192,4563,9,0.16599112390901202,0
8205,4886,5,0.23900192317253757,0
8224,4888,5,0.10660984817651525,0
8258,9386,5,0.21289519742103857,0
8266,5920,11,0.2530999239937337,0
8279,493,5,0.2101890186591831,0
8320,6281,7,0.26130070109184567,0
8328,1040,11,0.7457006126063068,0
8329,4822,15,0.23536602064692555,0
8337,7223,11,0.2439407738899988,0
8352,494,5,0.09971676498393948,0
8365,7484,11,0.33542395665437186,0
8377,2543,9,0.3880240980250601,0
8382,1025,14,0.22208815808044555,0
8400,8408,11,0.10646028437716559,0
8408,5579,11,0.270826995542688,0
8415,4601,15,0.21620950936620276,0
8424,3553,14,0.20079893273957244,0
8446,599,8,0.15640082813289055,0
8455,6809,8,0.2234234766279783,0
8473,1925,9,0.16443578392826572,0
8477,3740,9,0.27886178625600466,0
8504,2623,12,0.15311226549954274,0
8516,9456,12,0.21978900913605717,0
8521,3212,14,0.24917728959362578,0
8524,5096,11,0.20978674241981363,0
8532,5223,14,0.2644136685876376,0
8550,15211,12,0.1690141713746546,0
8565,4374,15,0.26868693454586434,0
8571,5523,7,0.21044327411174082,0
8586,5580,6,0.20438654434896852,0
8588,6612,10,0.24904481027673614,0
8600,2591,11,0.7226490990718208,0
8615,6016,5,0.2786132236403004,0
8619,1495,15,0.19451464164306542,0
8627,3734,11,0.2815614237508548,0
8677,7732,7,0.19850580210974778,0
8684,4657,11,0.22062575217361202,0
8720,9289,9,0.1773167105802902,0
8721,735,9,0.22856456631647892,0
8740,5888,15,0.12960945599116558,0
8803,2268,11,0.20317004548612716,0
8823,2200,6,0.27740936128573274,0
8827,1545,14,0.17160253693258185,0
8831,1320,7,0.17592775753356557,0
8840,3899,9,0.25789930070699574,0
8848,4206,10,0.4878237291628975,0
8853,2594,7,0.14482776834210057,0
8890,2447,12,0.2176082203873846,0
8892,2600,12,0.19236496382016954,0
8893,2628,7,0.37351051430121357,0
8903,999,12,0.22432564744817532,0
8918,6793,6,0.2770604621209475,0
8920,6328,5,0.20028815633412378,0
8931,8973,5,0.33967075723611656,0
8948,8043,15,0.19740080080868708,0
8973,751,5,0.27749929085401026,0
8983,4792,15,0.19570876028114884,0
8986,6997,12,0.4207801701890599,0
9042,7126,15,0.24140636576085212,0
9111,4771,12,0.39691541552048937,0
9121,8224,5,0.13529317331979476,0
9161,2936,9,0.3618065879322019,0
9196,9987,12,0.2885599152956534,0
9198,3099,7,0.21004032324833577,0
9214,4813,7,0.19085201826584136,0
